1, 140
2, 281
3, 388
4, 582
5, 733
6, 899
7, 1054
8, 1283
9, 1471
10, 1670
11, 1826
12, 2042
13, 2222
14, 2430
15, 2576
16, 2879
17, 3124
18, 3337
19, 3534
20, 3819
21, 4029
22, 4202
23, 4400
24, 4680
25, 4877
26, 5150
27, 5235
28, 5576
29, 5805
30, 6061
31, 6253
32, 6544
33, 6889
34, 7110
35, 7293
36, 7590
37, 7941
38, 7968
39, 8357
40, 8654
41, 8908
42, 9144
43, 9366
44, 9594
45, 9890
46, 10315
47, 10482
48, 10761
49, 10905
50, 11056
51, 11288
52, 11810
53, 11871
54, 12273
55, 12178
56, 12721
57, 13047
58, 12933
59, 13486
60, 13850
61, 14111
62, 14057
63, 14468
64, 15095
65, 15186
66, 15653
67, 15494
68, 15961
69, 16245
70, 16582
71, 16542
72, 17002
73, 17287
74, 17836
75, 18133
76, 18264
77, 18351
78, 18805
79, 19472
80, 19515
81, 19681
82, 19832
83, 20438
84, 20484
85, 21027
86, 21451
87, 21168
88, 21924
89, 21452
90, 22262
91, 22923
92, 23417
93, 23040
94, 23419
95, 23568
96, 23836
97, 24262
98, 24563
99, 24441
100, 25165
101, 25717
102, 25506
103, 25721
104, 26005
105, 26148
106, 26856
107, 27092
108, 27650
109, 27825
110, 27477
111, 28328
112, 29089
113, 28688
114, 29036
115, 29252
116, 29353
117, 29957
118, 30536
119, 29884
120, 30775
121, 31041
122, 31860
123, 31350
124, 31237
125, 31561
126, 32666
127, 32151
128, 33417
129, 33622
130, 34503
131, 33703
132, 34512
133, 34710
134, 34762
135, 35763
136, 35471
137, 35882
138, 35440
139, 36951
140, 37174
141, 36956
142, 37279
143, 37817
144, 38317
145, 38926
146, 38622
147, 39417
148, 38900
149, 40074
150, 40610
151, 40103
152, 41611
153, 41312
154, 41893
155, 41759
156, 41756
157, 43080
158, 42994
159, 43213
160, 42765
161, 45198
162, 44653
163, 43535
164, 44465
165, 44910
166, 45579
167, 46567
168, 45188
169, 46240
170, 46495
171, 46997
172, 48198
173, 47905
174, 46851
175, 48631
176, 48463
177, 48869
178, 49665
179, 49211
180, 49767
181, 50592
182, 50809
183, 51676
184, 50777
185, 51172
186, 52048
187, 51662
188, 51811
189, 51428
190, 52562
191, 53270
192, 53124
193, 52854
194, 53792
195, 55291
196, 55972
197, 55780
198, 55351
199, 56619
200, 55810
201, 56329
202, 56310
203, 56972
204, 56257
205, 56777
206, 58044
207, 57133
208, 58397
209, 59294
210, 59205
211, 59542
212, 58098
213, 59503
214, 59552
215, 61157
216, 61138
217, 61856
218, 61273
219, 63467
220, 61658
221, 63037
222, 64025
223, 63558
224, 63646
225, 63978
226, 62544
227, 62820
228, 64841
229, 64209
230, 65582
231, 66375
232, 65497
233, 66537
234, 66992
235, 67419
236, 68416
237, 66921
238, 67725
239, 66499
240, 67080
241, 67260
242, 68897
243, 68989
244, 70100
245, 69023
246, 71325
247, 70550
248, 71062
249, 71176
250, 72202
251, 70878
252, 73820
253, 72830
254, 72877
255, 73211
256, 73503
257, 74018
258, 75871
259, 73094
260, 77111
261, 73785
262, 74964
263, 76962
264, 78047
265, 76537
266, 76195
267, 78088
268, 78566
269, 79282
270, 75705
271, 79235
272, 81107
273, 80000
274, 80968
275, 80744
276, 82163
277, 82436
278, 81659
279, 82157
280, 81919
281, 83061
282, 82037
283, 81603
284, 82243
285, 85613
286, 84926
287, 84138
288, 85670
289, 83632
290, 85394
291, 86919
292, 85977
293, 84958
294, 87929
295, 86983
296, 87253
297, 88956
298, 89202
299, 88981
300, 90522
301, 91776
302, 91940
303, 90414
304, 90063
305, 90911
306, 91206
307, 91199
308, 92223
309, 94357
310, 91600
311, 92317
312, 94373
313, 93953
314, 95058
315, 96097
316, 93048
317, 92488
318, 92901
319, 96969
320, 98476
